Index	Red	Green	Blue
0	48	18	59
1	50	21	67
2	51	24	74
3	52	27	81
4	53	30	88
5	54	33	95
6	55	36	102
7	56	39	109
8	57	42	115
9	58	45	121
10	59	47	128
11	60	50	134
12	61	53	139
13	62	56	145
14	63	59	151
15	63	62	156
16	64	64	162
17	65	67	167
18	65	70	172
19	66	73	177
20	66	75	181
21	67	78	186
22	68	81	191
23	68	84	195
24	68	86	199
25	69	89	203
26	69	92	207
27	69	94	211
28	70	97	214
29	70	100	218
30	70	102	221
31	70	105	224
32	70	107	227
33	71	110	230
34	71	113	233
35	71	115	235
36	71	118	238
37	71	120	240
38	71	123	242
39	70	125	244
40	70	128	246
41	70	130	248
42	70	133	250
43	70	135	251
44	69	138	252
45	69	140	253
46	68	143	254
47	67	145	254
48	66	148	255
49	65	150	255
50	64	153	255
51	62	155	254
52	61	158	254
53	59	160	253
54	58	163	252
55	56	165	251
56	55	168	250
57	53	171	248
58	51	173	247
59	49	175	245
60	47	178	244
61	46	180	242
62	44	183	240
63	42	185	238
64	40	188	235
65	39	190	233
66	37	192	231
67	35	195	228
68	34	197	226
69	32	199	223
70	31	201	221
71	30	203	218
72	28	205	216
73	27	208	213
74	26	210	210
75	26	212	208
76	25	213	205
77	24	215	202
78	24	217	200
79	24	219	197
80	24	221	194
81	24	222	192
82	24	224	189
83	25	226	187
84	25	227	185
85	26	228	182
86	28	230	180
87	29	231	178
88	31	233	175
89	32	234	172
90	34	235	170
91	37	236	167
92	39	238	164
93	42	239	161
94	44	240	158
95	47	241	155
96	50	242	152
97	53	243	148
98	56	244	145
99	60	245	142
100	63	246	138
101	67	247	135
102	70	248	132
103	74	248	128
104	78	249	125
105	82	250	122
106	85	250	118
107	89	251	115
108	93	252	111
109	97	252	108
110	101	253	105
111	105	253	102
112	109	254	98
113	113	254	95
114	117	254	92
115	121	254	89
116	125	255	86
117	128	255	83
118	132	255	81
119	136	255	78
120	139	255	75
121	143	255	73
122	146	255	71
123	150	254	68
124	153	254	66
125	156	254	64
126	159	253	63
127	161	253	61
128	164	252	60
129	167	252	58
130	169	251	57
131	172	251	56
132	175	250	55
133	177	249	54
134	180	248	54
135	183	247	53
136	185	246	53
137	188	245	52
138	190	244	52
139	193	243	52
140	195	241	52
141	198	240	52
142	200	239	52
143	203	237	52
144	205	236	52
145	208	234	52
146	210	233	53
147	212	231	53
148	215	229	53
149	217	228	54
150	219	226	54
151	221	224	55
152	223	223	55
153	225	221	55
154	227	219	56
155	229	217	56
156	231	215	57
157	233	213	57
158	235	211	57
159	236	209	58
160	238	207	58
161	239	205	58
162	241	203	58
163	242	201	58
164	244	199	58
165	245	197	58
166	246	195	58
167	247	193	58
168	248	190	57
169	249	188	57
170	250	186	57
171	251	184	56
172	251	182	55
173	252	179	54
174	252	177	54
175	253	174	53
176	253	172	52
177	254	169	51
178	254	167	50
179	254	164	49
180	254	161	48
181	254	158	47
182	254	155	45
183	254	153	44
184	254	150	43
185	254	147	42
186	254	144	41
187	253	141	39
188	253	138	38
189	252	135	37
190	252	132	35
191	251	129	34
192	251	126	33
193	250	123	31
194	249	120	30
195	249	117	29
196	248	114	28
197	247	111	26
198	246	108	25
199	245	105	24
200	244	102	23
201	243	99	21
202	242	96	20
203	241	93	19
204	240	91	18
205	239	88	17
206	237	85	16
207	236	83	15
208	235	80	14
209	234	78	13
210	232	75	12
211	231	73	12
212	229	71	11
213	228	69	10
214	226	67	10
215	225	65	9
216	223	63	8
217	221	61	8
218	220	59	7
219	218	57	7
220	216	55	6
221	214	53	6
222	212	51	5
223	210	49	5
224	208	47	5
225	206	45	4
226	204	43	4
227	202	42	4
228	200	40	3
229	197	38	3
230	195	37	3
231	193	35	2
232	190	33	2
233	188	32	2
234	185	30	2
235	183	29	2
236	180	27	1
237	178	26	1
238	175	24	1
239	172	23	1
240	169	22	1
241	167	20	1
242	164	19	1
243	161	18	1
244	158	16	1
245	155	15	1
246	152	14	1
247	149	13	1
248	146	11	1
249	142	10	1
250	139	9	2
251	136	8	2
252	133	7	2
253	129	6	2
254	126	5	2
255	122	4	3
